sport,date,home,away,home_score,away_score,odds_home,odds_draw,odds_away
football,2025-04-19,Union Central,Real Norte,2,1,2.89,3.74,3.02
football,2025-04-21,Union Central,Atletico Sur,1,1,2.57,3.69,3.51
football,2025-04-23,Union Central,Deportivo Costa,0,1,2.20,3.79,4.31
football,2025-04-25,Union Central,CF Montaña,2,2,2.25,3.67,4.59
football,2025-04-27,Union Central,Racing Valle,1,1,2.34,3.80,3.93
football,2025-04-29,Union Central,Sporting Este,1,3,1.95,3.64,5.29
football,2025-05-01,Union Central,Estrella Oeste,2,0,2.20,3.74,4.55
football,2025-05-03,Deportivo Costa,Real Norte,4,1,3.18,3.78,2.75
football,2025-05-05,Deportivo Costa,Atletico Sur,7,2,2.81,3.84,3.37
football,2025-05-07,Deportivo Costa,Union Central,1,1,2.35,3.86,3.95
football,2025-05-09,Deportivo Costa,CF Montaña,0,0,2.11,3.62,4.49
football,2025-05-11,Deportivo Costa,Racing Valle,2,0,2.54,3.91,3.55
football,2025-05-13,Deportivo Costa,Sporting Este,5,0,2.14,3.82,5.14
football,2025-05-15,Deportivo Costa,Estrella Oeste,1,2,2.19,3.62,4.08
football,2025-05-17,CF Montaña,Real Norte,0,1,3.31,3.82,2.49
football,2025-05-19,CF Montaña,Atletico Sur,0,0,2.87,3.83,3.10
football,2025-05-21,CF Montaña,Union Central,2,0,2.73,3.91,3.47
football,2025-05-23,CF Montaña,Deportivo Costa,3,1,2.59,3.88,3.47
football,2025-05-25,CF Montaña,Racing Valle,1,2,2.60,3.78,3.19
football,2025-05-27,CF Montaña,Sporting Este,0,0,2.21,3.61,4.43
football,2025-05-29,CF Montaña,Estrella Oeste,0,0,2.44,3.82,3.77
football,2025-05-31,Racing Valle,Real Norte,2,2,3.00,3.87,3.13
football,2025-06-02,Racing Valle,Atletico Sur,4,1,2.38,3.90,3.55
football,2025-06-04,Racing Valle,Union Central,3,2,2.26,3.89,4.28
football,2025-06-06,Racing Valle,Deportivo Costa,1,1,2.25,3.84,4.56
football,2025-06-08,Racing Valle,CF Montaña,1,0,2.09,3.67,5.00
football,2025-06-10,Racing Valle,Sporting Este,1,1,2.03,3.67,6.03
football,2025-06-12,Racing Valle,Estrella Oeste,2,1,2.06,3.74,4.81
football,2025-06-14,Sporting Este,Real Norte,0,6,3.95,3.93,2.30
football,2025-06-16,Sporting Este,Atletico Sur,2,1,3.07,3.86,2.76
football,2025-06-18,Sporting Este,Union Central,3,2,2.94,3.96,3.10
football,2025-06-20,Sporting Este,Deportivo Costa,0,3,2.61,3.85,3.17
football,2025-06-22,Sporting Este,CF Montaña,1,3,2.62,3.94,3.50
football,2025-06-24,Sporting Este,Racing Valle,0,3,2.90,3.70,3.02
football,2025-06-26,Sporting Este,Estrella Oeste,0,0,2.76,3.69,3.50
football,2025-06-28,Estrella Oeste,Real Norte,0,0,3.34,3.79,2.69
football,2025-06-30,Estrella Oeste,Atletico Sur,0,3,2.82,3.95,2.97
football,2025-07-02,Estrella Oeste,Union Central,1,0,2.62,3.97,3.67
football,2025-07-04,Estrella Oeste,Deportivo Costa,2,0,2.45,3.69,3.88
football,2025-07-06,Estrella Oeste,CF Montaña,0,2,2.39,3.94,3.96
football,2025-07-08,Estrella Oeste,Racing Valle,3,1,2.52,3.72,3.51
football,2025-07-10,Estrella Oeste,Sporting Este,3,0,2.11,3.90,4.81
tennis,2025-07-12,A. Rivas,M. Fontes,1,2,1.98,,2.22
tennis,2025-07-14,A. Rivas,J. Bermejo,2,1,1.90,,2.46
tennis,2025-07-16,A. Rivas,D. Salcedo,2,0,1.83,,2.40
tennis,2025-07-18,A. Rivas,L. Peralta,0,2,1.79,,2.88
tennis,2025-07-20,A. Rivas,R. Aguayo,2,1,1.91,,2.49
tennis,2025-07-22,A. Rivas,T. Ibarra,1,2,1.71,,2.69
tennis,2025-07-24,A. Rivas,S. Quiroga,1,2,1.73,,2.68
tennis,2025-07-26,M. Fontes,A. Rivas,0,2,2.31,,1.87
tennis,2025-07-28,M. Fontes,J. Bermejo,1,2,2.09,,2.24
tennis,2025-07-30,M. Fontes,D. Salcedo,2,1,1.89,,2.27
tennis,2025-08-01,M. Fontes,L. Peralta,0,2,1.89,,2.46
tennis,2025-08-03,M. Fontes,R. Aguayo,0,2,2.15,,2.16
tennis,2025-08-05,M. Fontes,T. Ibarra,2,1,1.80,,2.42
tennis,2025-08-07,M. Fontes,S. Quiroga,2,0,1.94,,2.42
tennis,2025-08-09,J. Bermejo,A. Rivas,2,0,2.54,,1.79
tennis,2025-08-11,J. Bermejo,M. Fontes,2,0,2.33,,2.09
tennis,2025-08-13,J. Bermejo,D. Salcedo,0,2,2.06,,2.14
tennis,2025-08-15,J. Bermejo,L. Peralta,0,2,1.86,,2.37
tennis,2025-08-17,J. Bermejo,R. Aguayo,2,0,2.22,,2.15
tennis,2025-08-19,J. Bermejo,T. Ibarra,1,2,1.91,,2.31
tennis,2025-08-21,J. Bermejo,S. Quiroga,2,0,2.00,,2.18
tennis,2025-08-23,D. Salcedo,A. Rivas,2,1,2.41,,1.92
tennis,2025-08-25,D. Salcedo,M. Fontes,2,1,2.28,,2.03
tennis,2025-08-27,D. Salcedo,J. Bermejo,2,1,2.08,,2.01
tennis,2025-08-29,D. Salcedo,L. Peralta,2,0,1.99,,2.39
tennis,2025-08-31,D. Salcedo,R. Aguayo,2,1,2.33,,2.05
tennis,2025-09-02,D. Salcedo,T. Ibarra,2,0,2.07,,2.31
tennis,2025-09-04,D. Salcedo,S. Quiroga,0,2,2.10,,2.13
tennis,2025-09-06,L. Peralta,A. Rivas,2,1,2.78,,1.68
tennis,2025-09-08,L. Peralta,M. Fontes,2,1,2.52,,1.90
tennis,2025-09-10,L. Peralta,J. Bermejo,1,2,2.49,,1.99
tennis,2025-09-12,L. Peralta,D. Salcedo,2,1,2.27,,1.98
tennis,2025-09-14,L. Peralta,R. Aguayo,0,2,2.50,,1.94
tennis,2025-09-16,L. Peralta,T. Ibarra,0,2,2.23,,2.02
tennis,2025-09-18,L. Peralta,S. Quiroga,2,0,2.34,,1.98
tennis,2025-09-20,R. Aguayo,A. Rivas,1,2,2.32,,2.01
tennis,2025-09-22,R. Aguayo,M. Fontes,2,0,2.13,,2.16
tennis,2025-09-24,R. Aguayo,J. Bermejo,1,2,2.01,,2.15
tennis,2025-09-26,R. Aguayo,D. Salcedo,1,2,2.08,,2.35
tennis,2025-09-28,R. Aguayo,L. Peralta,0,2,1.78,,2.37
tennis,2025-09-30,R. Aguayo,T. Ibarra,2,0,1.84,,2.29
tennis,2025-10-02,R. Aguayo,S. Quiroga,2,0,1.89,,2.32
tennis,2025-10-04,T. Ibarra,A. Rivas,2,1,2.71,,1.78
tennis,2025-10-06,T. Ibarra,M. Fontes,2,1,2.34,,1.97
tennis,2025-10-08,T. Ibarra,J. Bermejo,0,2,2.35,,1.91
tennis,2025-10-10,T. Ibarra,D. Salcedo,1,2,2.15,,2.08
tennis,2025-10-12,T. Ibarra,L. Peralta,1,2,2.01,,2.25
tennis,2025-10-14,T. Ibarra,R. Aguayo,1,2,2.37,,1.91
tennis,2025-10-16,T. Ibarra,S. Quiroga,2,0,2.11,,1.97
tennis,2025-10-18,S. Quiroga,A. Rivas,2,1,2.56,,1.79
tennis,2025-10-20,S. Quiroga,M. Fontes,0,2,2.32,,1.95
tennis,2025-10-22,S. Quiroga,J. Bermejo,0,2,2.33,,2.10
tennis,2025-10-24,S. Quiroga,D. Salcedo,2,0,2.21,,2.00
tennis,2025-10-26,S. Quiroga,L. Peralta,2,1,2.10,,2.34
tennis,2025-10-28,S. Quiroga,R. Aguayo,0,2,2.23,,2.02
tennis,2025-10-30,S. Quiroga,T. Ibarra,2,0,2.05,,2.17
tennis,2025-11-01,A. Rivas,M. Fontes,1,2,1.92,,2.34
tennis,2025-11-03,A. Rivas,J. Bermejo,0,2,1.96,,2.41
tennis,2025-11-05,A. Rivas,D. Salcedo,0,2,1.92,,2.41
tennis,2025-11-07,A. Rivas,L. Peralta,0,2,1.79,,2.77
tennis,2025-11-09,A. Rivas,R. Aguayo,0,2,1.86,,2.48
tennis,2025-11-11,A. Rivas,T. Ibarra,0,2,1.82,,2.57
tennis,2025-11-13,A. Rivas,S. Quiroga,1,2,1.76,,2.56
tennis,2025-11-15,M. Fontes,A. Rivas,2,0,2.36,,1.90
tennis,2025-11-17,M. Fontes,J. Bermejo,2,1,1.98,,2.19
tennis,2025-11-19,M. Fontes,D. Salcedo,2,1,1.97,,2.22
tennis,2025-11-21,M. Fontes,L. Peralta,0,2,1.77,,2.50
tennis,2025-11-23,M. Fontes,R. Aguayo,2,0,2.04,,2.09
tennis,2025-11-25,M. Fontes,T. Ibarra,2,1,1.91,,2.40
tennis,2025-11-27,M. Fontes,S. Quiroga,2,0,1.92,,2.45
tennis,2025-11-29,J. Bermejo,A. Rivas,2,0,2.36,,1.94
tennis,2025-12-01,J. Bermejo,M. Fontes,2,1,2.24,,2.06
tennis,2025-12-03,J. Bermejo,D. Salcedo,2,1,2.03,,2.13
tennis,2025-12-05,J. Bermejo,L. Peralta,2,1,1.85,,2.48
tennis,2025-12-07,J. Bermejo,R. Aguayo,0,2,2.19,,2.10
tennis,2025-12-09,J. Bermejo,T. Ibarra,0,2,2.05,,2.31
tennis,2025-12-11,J. Bermejo,S. Quiroga,2,1,2.02,,2.13
tennis,2025-12-13,D. Salcedo,A. Rivas,1,2,2.50,,1.76
tennis,2025-12-15,D. Salcedo,M. Fontes,0,2,2.20,,1.90
tennis,2025-12-17,D. Salcedo,J. Bermejo,2,0,2.08,,2.08
tennis,2025-12-19,D. Salcedo,L. Peralta,0,2,2.00,,2.32
tennis,2025-12-21,D. Salcedo,R. Aguayo,2,1,2.28,,2.07
tennis,2025-12-23,D. Salcedo,T. Ibarra,1,2,2.07,,2.20
tennis,2025-12-25,D. Salcedo,S. Quiroga,2,1,2.04,,2.09
tennis,2025-12-27,L. Peralta,A. Rivas,0,2,2.82,,1.74
tennis,2025-12-29,L. Peralta,M. Fontes,1,2,2.52,,1.76
tennis,2025-12-31,L. Peralta,J. Bermejo,2,0,2.37,,1.83
tennis,2026-01-02,L. Peralta,D. Salcedo,1,2,2.25,,1.92
tennis,2026-01-04,L. Peralta,R. Aguayo,0,2,2.48,,1.91
tennis,2026-01-06,L. Peralta,T. Ibarra,0,2,2.21,,2.01
tennis,2026-01-08,L. Peralta,S. Quiroga,2,1,2.21,,2.02
tennis,2026-01-10,R. Aguayo,A. Rivas,0,2,2.40,,1.95
tennis,2026-01-12,R. Aguayo,M. Fontes,1,2,2.22,,2.01
tennis,2026-01-14,R. Aguayo,J. Bermejo,2,1,2.02,,2.14
tennis,2026-01-16,R. Aguayo,D. Salcedo,2,1,2.09,,2.33
tennis,2026-01-18,R. Aguayo,L. Peralta,2,0,1.78,,2.37
tennis,2026-01-20,R. Aguayo,T. Ibarra,2,0,2.02,,2.26
tennis,2026-01-22,R. Aguayo,S. Quiroga,1,2,1.89,,2.32
tennis,2026-01-24,T. Ibarra,A. Rivas,1,2,2.64,,1.81
tennis,2026-01-26,T. Ibarra,M. Fontes,0,2,2.42,,1.87
tennis,2026-01-28,T. Ibarra,J. Bermejo,2,1,2.36,,1.98
tennis,2026-01-30,T. Ibarra,D. Salcedo,2,1,2.17,,1.97
tennis,2026-02-01,T. Ibarra,L. Peralta,1,2,2.03,,2.17
tennis,2026-02-03,T. Ibarra,R. Aguayo,0,2,2.44,,1.99
tennis,2026-02-05,T. Ibarra,S. Quiroga,2,0,2.24,,2.15
tennis,2026-02-07,S. Quiroga,A. Rivas,0,2,2.55,,1.76
tennis,2026-02-09,S. Quiroga,M. Fontes,1,2,2.27,,2.00
tennis,2026-02-11,S. Quiroga,J. Bermejo,1,2,2.16,,2.08
tennis,2026-02-13,S. Quiroga,D. Salcedo,0,2,2.18,,2.03
tennis,2026-02-15,S. Quiroga,L. Peralta,2,0,1.97,,2.28
tennis,2026-02-17,S. Quiroga,R. Aguayo,2,0,2.40,,2.03
tennis,2026-02-19,S. Quiroga,T. Ibarra,2,0,1.97,,2.22
tennis,2026-02-21,A. Rivas,M. Fontes,2,1,2.05,,2.27
tennis,2026-02-23,A. Rivas,J. Bermejo,2,0,1.92,,2.39
tennis,2026-02-25,A. Rivas,D. Salcedo,1,2,1.86,,2.55
tennis,2026-02-27,A. Rivas,L. Peralta,2,0,1.66,,2.86
tennis,2026-03-01,A. Rivas,R. Aguayo,2,0,1.96,,2.42
tennis,2026-03-03,A. Rivas,T. Ibarra,2,1,1.80,,2.76
tennis,2026-03-05,A. Rivas,S. Quiroga,2,0,1.72,,2.63
tennis,2026-03-07,M. Fontes,A. Rivas,2,0,2.38,,1.91
tennis,2026-03-09,M. Fontes,J. Bermejo,2,1,2.09,,2.24
tennis,2026-03-11,M. Fontes,D. Salcedo,1,2,1.95,,2.30
tennis,2026-03-13,M. Fontes,L. Peralta,0,2,1.80,,2.49
tennis,2026-03-15,M. Fontes,R. Aguayo,1,2,1.99,,2.09
tennis,2026-03-17,M. Fontes,T. Ibarra,2,1,1.91,,2.49
tennis,2026-03-19,M. Fontes,S. Quiroga,2,0,1.84,,2.36
tennis,2026-03-21,J. Bermejo,A. Rivas,2,1,2.45,,1.93
tennis,2026-03-23,J. Bermejo,M. Fontes,1,2,2.30,,1.96
tennis,2026-03-25,J. Bermejo,D. Salcedo,0,2,2.05,,2.19
tennis,2026-03-27,J. Bermejo,L. Peralta,2,0,1.92,,2.49
tennis,2026-03-29,J. Bermejo,R. Aguayo,1,2,2.28,,2.03
tennis,2026-03-31,J. Bermejo,T. Ibarra,2,0,1.88,,2.39
tennis,2026-04-02,J. Bermejo,S. Quiroga,2,0,2.06,,2.18
tennis,2026-04-04,D. Salcedo,A. Rivas,2,1,2.41,,1.76
tennis,2026-04-06,D. Salcedo,M. Fontes,0,2,2.26,,2.03
tennis,2026-04-08,D. Salcedo,J. Bermejo,0,2,2.23,,2.09
tennis,2026-04-10,D. Salcedo,L. Peralta,1,2,2.05,,2.29
tennis,2026-04-12,D. Salcedo,R. Aguayo,2,0,2.20,,2.10
tennis,2026-04-14,D. Salcedo,T. Ibarra,0,2,1.97,,2.25
tennis,2026-04-16,D. Salcedo,S. Quiroga,2,1,1.97,,2.12
tennis,2026-04-18,L. Peralta,A. Rivas,0,2,2.68,,1.66
tennis,2026-04-20,L. Peralta,M. Fontes,2,1,2.50,,1.86
tennis,2026-04-22,L. Peralta,J. Bermejo,2,0,2.27,,1.82
tennis,2026-04-24,L. Peralta,D. Salcedo,1,2,2.27,,2.05
tennis,2026-04-26,L. Peralta,R. Aguayo,2,0,2.54,,1.80
tennis,2026-04-28,L. Peralta,T. Ibarra,1,2,2.21,,2.12
tennis,2026-04-30,L. Peralta,S. Quiroga,0,2,2.27,,2.04
tennis,2026-05-02,R. Aguayo,A. Rivas,0,2,2.49,,1.89
tennis,2026-05-04,R. Aguayo,M. Fontes,2,0,2.25,,2.01
tennis,2026-05-06,R. Aguayo,J. Bermejo,1,2,1.97,,2.21
tennis,2026-05-08,R. Aguayo,D. Salcedo,0,2,1.97,,2.33
tennis,2026-05-10,R. Aguayo,L. Peralta,0,2,1.93,,2.39
tennis,2026-05-12,R. Aguayo,T. Ibarra,0,2,1.85,,2.27
tennis,2026-05-14,R. Aguayo,S. Quiroga,1,2,1.97,,2.27
tennis,2026-05-16,T. Ibarra,A. Rivas,0,2,2.69,,1.79
tennis,2026-05-18,T. Ibarra,M. Fontes,2,1,2.32,,1.98
tennis,2026-05-20,T. Ibarra,J. Bermejo,2,1,2.39,,1.88
tennis,2026-05-22,T. Ibarra,D. Salcedo,0,2,2.30,,1.92
tennis,2026-05-24,T. Ibarra,L. Peralta,2,1,2.16,,2.22
tennis,2026-05-26,T. Ibarra,R. Aguayo,2,1,2.48,,1.85
tennis,2026-05-28,T. Ibarra,S. Quiroga,1,2,2.22,,2.03
tennis,2026-05-30,S. Quiroga,A. Rivas,1,2,2.54,,1.77
tennis,2026-06-01,S. Quiroga,M. Fontes,0,2,2.46,,1.93
tennis,2026-06-03,S. Quiroga,J. Bermejo,1,2,2.14,,1.95
tennis,2026-06-05,S. Quiroga,D. Salcedo,1,2,2.13,,2.00
tennis,2026-06-07,S. Quiroga,L. Peralta,2,0,1.97,,2.24
tennis,2026-06-09,S. Quiroga,R. Aguayo,0,2,2.22,,1.98
tennis,2026-06-11,S. Quiroga,T. Ibarra,2,0,2.13,,2.08
tennis,2026-06-13,A. Rivas,M. Fontes,2,1,1.92,,2.27
tennis,2026-06-15,A. Rivas,J. Bermejo,0,2,1.92,,2.51
tennis,2026-06-17,A. Rivas,D. Salcedo,2,1,1.88,,2.63
tennis,2026-06-19,A. Rivas,L. Peralta,1,2,1.74,,2.79
tennis,2026-06-21,A. Rivas,R. Aguayo,2,0,1.89,,2.47
tennis,2026-06-23,A. Rivas,T. Ibarra,2,0,1.82,,2.76
tennis,2026-06-25,A. Rivas,S. Quiroga,2,1,1.88,,2.50
tennis,2026-06-27,M. Fontes,A. Rivas,2,1,2.41,,2.05
tennis,2026-06-29,M. Fontes,J. Bermejo,0,2,1.94,,2.29
tennis,2026-07-01,M. Fontes,D. Salcedo,1,2,2.03,,2.40
tennis,2026-07-03,M. Fontes,L. Peralta,2,0,1.75,,2.63
tennis,2026-07-05,M. Fontes,R. Aguayo,2,1,2.06,,2.11
tennis,2026-07-07,M. Fontes,T. Ibarra,0,2,1.87,,2.55
tennis,2026-07-09,M. Fontes,S. Quiroga,0,2,1.89,,2.29
tennis,2026-07-11,J. Bermejo,A. Rivas,1,2,2.42,,1.94
tennis,2026-07-13,J. Bermejo,M. Fontes,1,2,2.33,,2.10
tennis,2026-07-15,J. Bermejo,D. Salcedo,2,0,2.09,,2.18
tennis,2026-07-17,J. Bermejo,L. Peralta,0,2,1.95,,2.47
